diag3_code,diag3_desc,admissions,emergency_admissions,year,summary_code,summary_desc
A00,Cholera,6.0,3.0,2020-2021,A00-A09,Intestinal infectious diseases
A01,Typhoid and paratyphoid fevers,79.0,57.0,2020-2021,A00-A09,Intestinal infectious diseases
A02,Other salmonella infections,466.0,440.0,2020-2021,A00-A09,Intestinal infectious diseases
A03,Shigellosis,121.0,117.0,2020-2021,A00-A09,Intestinal infectious diseases
A04,Other bacterial intestinal infections,10005.0,8048.0,2020-2021,A00-A09,Intestinal infectious diseases
A05,"Other bacterial foodborne intoxications, not elsewhere classified",311.0,308.0,2020-2021,A00-A09,Intestinal infectious diseases
A06,Amoebiasis,35.0,23.0,2020-2021,A00-A09,Intestinal infectious diseases
A07,Other protozoal intestinal diseases,186.0,139.0,2020-2021,A00-A09,Intestinal infectious diseases
A08,Viral and other specified intestinal infections,9644.0,9501.0,2020-2021,A00-A09,Intestinal infectious diseases
A09,Other gastroenteritis and colitis of infectious and unspecified origin,68017.0,49039.0,2020-2021,A00-A09,Intestinal infectious diseases
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",585.0,399.0,2020-2021,A15-A19,Tuberculosis
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",432.0,306.0,2020-2021,A15-A19,Tuberculosis
A17,Tuberculosis of nervous system,108.0,75.0,2020-2021,A15-A19,Tuberculosis
A18,Tuberculosis of other organs,414.0,272.0,2020-2021,A15-A19,Tuberculosis
A19,Miliary tuberculosis,161.0,129.0,2020-2021,A15-A19,Tuberculosis
A22,Anthrax,2.0,2.0,2020-2021,A20-A28,Certain zoonotic bacterial diseases
A23,Brucellosis,7.0,5.0,2020-2021,A20-A28,Certain zoonotic bacterial diseases
A24,Glanders and melioidosis,3.0,2.0,2020-2021,A20-A28,Certain zoonotic bacterial diseases
A25,Rat-bite fevers,3.0,3.0,2020-2021,A20-A28,Certain zoonotic bacterial diseases
A26,Erysipeloid,15.0,14.0,2020-2021,A20-A28,Certain zoonotic bacterial diseases
A27,Leptospirosis,57.0,52.0,2020-2021,A20-A28,Certain zoonotic bacterial diseases
A28,"Other zoonotic bacterial diseases, not elsewhere classified",28.0,25.0,2020-2021,A20-A28,Certain zoonotic bacterial diseases
A30,Leprosy [Hansen disease],0.0,0.0,2020-2021,A30-A49,Other bacterial diseases
A31,Infection due to other mycobacteria,323.0,116.0,2020-2021,A30-A49,Other bacterial diseases
A32,Listeriosis,39.0,39.0,2020-2021,A30-A49,Other bacterial diseases
A34,Obstetrical tetanus,1.0,1.0,2020-2021,A30-A49,Other bacterial diseases
A35,Other tetanus,15.0,14.0,2020-2021,A30-A49,Other bacterial diseases
A36,Diphtheria,10.0,8.0,2020-2021,A30-A49,Other bacterial diseases
A37,Whooping cough,46.0,31.0,2020-2021,A30-A49,Other bacterial diseases
A38,Scarlet fever,154.0,151.0,2020-2021,A30-A49,Other bacterial diseases
A39,Meningococcal infection,202.0,185.0,2020-2021,A30-A49,Other bacterial diseases
A40,Streptococcal sepsis,2651.0,2525.0,2020-2021,A30-A49,Other bacterial diseases
A41,Other sepsis,90571.0,86855.0,2020-2021,A30-A49,Other bacterial diseases
A42,Actinomycosis,126.0,37.0,2020-2021,A30-A49,Other bacterial diseases
A43,Nocardiosis,5.0,3.0,2020-2021,A30-A49,Other bacterial diseases
A44,Bartonellosis,2.0,1.0,2020-2021,A30-A49,Other bacterial diseases
A46,Erysipelas,170.0,163.0,2020-2021,A30-A49,Other bacterial diseases
A48,"Other bacterial diseases, not elsewhere classified",262.0,240.0,2020-2021,A30-A49,Other bacterial diseases
A49,Bacterial infection of unspecified site,5298.0,4607.0,2020-2021,A30-A49,Other bacterial diseases
A50,Congenital syphilis,22.0,5.0,2020-2021,A50-A64,Infections with a predominantly sexual mode of transmission
A51,Early syphilis,32.0,9.0,2020-2021,A50-A64,Infections with a predominantly sexual mode of transmission
A52,Late syphilis,219.0,81.0,2020-2021,A50-A64,Infections with a predominantly sexual mode of transmission
A53,Other and unspecified syphilis,67.0,15.0,2020-2021,A50-A64,Infections with a predominantly sexual mode of transmission
A54,Gonococcal infection,105.0,83.0,2020-2021,A50-A64,Infections with a predominantly sexual mode of transmission
A55,Chlamydial lymphogranuloma (venereum),6.0,5.0,2020-2021,A50-A64,Infections with a predominantly sexual mode of transmission
A56,Other sexually transmitted chlamydial diseases,82.0,79.0,2020-2021,A50-A64,Infections with a predominantly sexual mode of transmission
A59,Trichomoniasis,12.0,11.0,2020-2021,A50-A64,Infections with a predominantly sexual mode of transmission
A60,Anogenital herpesviral [herpes simplex] infection,233.0,207.0,2020-2021,A50-A64,Infections with a predominantly sexual mode of transmission
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",793.0,59.0,2020-2021,A50-A64,Infections with a predominantly sexual mode of transmission
A64,Unspecified sexually transmitted disease,15.0,15.0,2020-2021,A50-A64,Infections with a predominantly sexual mode of transmission
A65,Nonvenereal syphilis,0.0,0.0,2020-2021,A65-A69,Other spirochaetal diseases
A66,Yaws,1.0,0.0,2020-2021,A65-A69,Other spirochaetal diseases
A68,Relapsing fevers,24.0,16.0,2020-2021,A65-A69,Other spirochaetal diseases
A69,Other spirochaetal infections,327.0,150.0,2020-2021,A65-A69,Other spirochaetal diseases
A70,Chlamydia psittaci infection,2.0,2.0,2020-2021,A70-A74,Other diseases caused by chlamydiae
A71,Trachoma,0.0,0.0,2020-2021,A70-A74,Other diseases caused by chlamydiae
A74,Other diseases caused by chlamydiae,33.0,29.0,2020-2021,A70-A74,Other diseases caused by chlamydiae
A75,Typhus fever,1.0,1.0,2020-2021,A75-A79,Rickettsioses
A77,Spotted fever [tick-borne rickettsioses],1.0,1.0,2020-2021,A75-A79,Rickettsioses
A78,Q fever,1.0,1.0,2020-2021,A75-A79,Rickettsioses
A79,Other rickettsioses,2.0,2.0,2020-2021,A75-A79,Rickettsioses
A80,Acute poliomyelitis,4.0,2.0,2020-2021,A80-A89,Viral infections of the central nervous system
A81,Atypical virus infections of central nervous system,104.0,66.0,2020-2021,A80-A89,Viral infections of the central nervous system
A84,Tick-borne viral encephalitis,1.0,0.0,2020-2021,A80-A89,Viral infections of the central nervous system
A85,"Other viral encephalitis, not elsewhere classified",35.0,20.0,2020-2021,A80-A89,Viral infections of the central nervous system
A86,Unspecified viral encephalitis,461.0,428.0,2020-2021,A80-A89,Viral infections of the central nervous system
A87,Viral meningitis,837.0,801.0,2020-2021,A80-A89,Viral infections of the central nervous system
A88,"Other viral infections of central nervous system, not elsewhere classified",25.0,24.0,2020-2021,A80-A89,Viral infections of the central nervous system
A89,Unspecified viral infection of central nervous system,7.0,6.0,2020-2021,A80-A89,Viral infections of the central nervous system
A96,Arenaviral haemorrhagic fever,1.0,1.0,2020-2021,A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers
A97,Dengue,5.0,5.0,2020-2021,A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers
A99,Unspecified viral haemorrhagic fever,3.0,3.0,2020-2021,A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers
B00,Herpesviral [herpes simplex] infections,1825.0,1617.0,2020-2021,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B01,Varicella [chickenpox],702.0,646.0,2020-2021,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B02,Zoster [herpes zoster],2882.0,2634.0,2020-2021,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B05,Measles,11.0,10.0,2020-2021,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
