diag3_code,diag3_desc,admissions,emergency_admissions,year,summary_code,summary_desc
B06,Rubella [German measles],5.0,5.0,2020-2021,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B07,Viral warts,1680.0,47.0,2020-2021,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",503.0,396.0,2020-2021,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,675.0,663.0,2020-2021,B00-B09,Viral infections characterized by skin & mucous mem. lesns.
B15,Acute hepatitis A,112.0,93.0,2020-2021,B15-B19,Viral hepatitis
B16,Acute hepatitis B,99.0,88.0,2020-2021,B15-B19,Viral hepatitis
B17,Other acute viral hepatitis,857.0,716.0,2020-2021,B15-B19,Viral hepatitis
B18,Chronic viral hepatitis,314.0,112.0,2020-2021,B15-B19,Viral hepatitis
B19,Unspecified viral hepatitis,121.0,116.0,2020-2021,B15-B19,Viral hepatitis
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,450.0,342.0,2020-2021,B20-B24,Human immunodeficiency virus [HIV] disease
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,406.0,40.0,2020-2021,B20-B24,Human immunodeficiency virus [HIV] disease
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,52.0,36.0,2020-2021,B20-B24,Human immunodeficiency virus [HIV] disease
B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,183.0,61.0,2020-2021,B20-B24,Human immunodeficiency virus [HIV] disease
B24,Unspecified human immunodeficiency virus [HIV] disease,166.0,109.0,2020-2021,B20-B24,Human immunodeficiency virus [HIV] disease
B25,Cytomegaloviral disease,379.0,208.0,2020-2021,B25-B34,Other viral diseases
B26,Mumps,98.0,95.0,2020-2021,B25-B34,Other viral diseases
B27,Infectious mononucleosis,1886.0,1709.0,2020-2021,B25-B34,Other viral diseases
B30,Viral conjunctivitis,59.0,56.0,2020-2021,B25-B34,Other viral diseases
B33,"Other viral diseases, not elsewhere classified",32.0,25.0,2020-2021,B25-B34,Other viral diseases
B34,Viral infection of unspecified site,44444.0,43865.0,2020-2021,B25-B34,Other viral diseases
B35,Dermatophytosis,484.0,295.0,2020-2021,B35-B49,Mycoses
B36,Other superficial mycoses,159.0,123.0,2020-2021,B35-B49,Mycoses
B37,Candidiasis,4262.0,1859.0,2020-2021,B35-B49,Mycoses
B38,Coccidioidomycosis,0.0,0.0,2020-2021,B35-B49,Mycoses
B39,Histoplasmosis,8.0,4.0,2020-2021,B35-B49,Mycoses
B40,Blastomycosis,2.0,1.0,2020-2021,B35-B49,Mycoses
B43,Chromomycosis and phaeomycotic abscess,28.0,26.0,2020-2021,B35-B49,Mycoses
B44,Aspergillosis,687.0,270.0,2020-2021,B35-B49,Mycoses
B45,Cryptococcosis,66.0,35.0,2020-2021,B35-B49,Mycoses
B46,Zygomycosis,9.0,3.0,2020-2021,B35-B49,Mycoses
B47,Mycetoma,27.0,9.0,2020-2021,B35-B49,Mycoses
B48,"Other mycoses, not elsewhere classified",13.0,3.0,2020-2021,B35-B49,Mycoses
B49,Unspecified mycosis,237.0,50.0,2020-2021,B35-B49,Mycoses
B50,Plasmodium falciparum malaria,246.0,237.0,2020-2021,B50-B64,Protozoal diseases
B51,Plasmodium vivax malaria,27.0,25.0,2020-2021,B50-B64,Protozoal diseases
B52,Plasmodium malariae malaria,5.0,5.0,2020-2021,B50-B64,Protozoal diseases
B53,Other parasitologically confirmed malaria,28.0,26.0,2020-2021,B50-B64,Protozoal diseases
B54,Unspecified malaria,60.0,58.0,2020-2021,B50-B64,Protozoal diseases
B55,Leishmaniasis,179.0,18.0,2020-2021,B50-B64,Protozoal diseases
B57,Chagas disease,1.0,0.0,2020-2021,B50-B64,Protozoal diseases
B58,Toxoplasmosis,35.0,20.0,2020-2021,B50-B64,Protozoal diseases
B59,Pneumocystosis,214.0,176.0,2020-2021,B50-B64,Protozoal diseases
B60,"Other protozoal diseases, not elsewhere classified",13.0,6.0,2020-2021,B50-B64,Protozoal diseases
B65,Schistosomiasis [bilharziasis],32.0,7.0,2020-2021,B65-B83,Helminthiases
B67,Echinococcosis,71.0,39.0,2020-2021,B65-B83,Helminthiases
B68,Taeniasis,2.0,2.0,2020-2021,B65-B83,Helminthiases
B69,Cysticercosis,6.0,5.0,2020-2021,B65-B83,Helminthiases
B71,Other cestode infections,8.0,5.0,2020-2021,B65-B83,Helminthiases
B74,Filariasis,6.0,4.0,2020-2021,B65-B83,Helminthiases
B76,Hookworm diseases,10.0,3.0,2020-2021,B65-B83,Helminthiases
B77,Ascariasis,5.0,5.0,2020-2021,B65-B83,Helminthiases
B78,Strongyloidiasis,1.0,1.0,2020-2021,B65-B83,Helminthiases
B79,Trichuriasis,2.0,0.0,2020-2021,B65-B83,Helminthiases
B80,Enterobiasis,292.0,130.0,2020-2021,B65-B83,Helminthiases
B81,"Other intestinal helminthiases, not elsewhere classified",1.0,1.0,2020-2021,B65-B83,Helminthiases
B82,Unspecified intestinal parasitism,63.0,15.0,2020-2021,B65-B83,Helminthiases
B83,Other helminthiases,33.0,22.0,2020-2021,B65-B83,Helminthiases
B85,Pediculosis and phthiriasis,25.0,24.0,2020-2021,B85-B89,"Pediculosis, acariasis and other infestations"
B86,Scabies,147.0,137.0,2020-2021,B85-B89,"Pediculosis, acariasis and other infestations"
B87,Myiasis,27.0,25.0,2020-2021,B85-B89,"Pediculosis, acariasis and other infestations"
B88,Other infestations,8.0,4.0,2020-2021,B85-B89,"Pediculosis, acariasis and other infestations"
B89,Unspecified parasitic disease,2.0,2.0,2020-2021,B85-B89,"Pediculosis, acariasis and other infestations"
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,1.0,1.0,2020-2021,B95-B98,"Bacterial, viral and other infectious agents"
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,3.0,2.0,2020-2021,B95-B98,"Bacterial, viral and other infectious agents"
B97,Viral agents as the cause of diseases classified to other chapters,3.0,2.0,2020-2021,B95-B98,"Bacterial, viral and other infectious agents"
B99,Other and unspecified infectious diseases,5044.0,4866.0,2020-2021,B99-B99,Other infectious and parasitic diseases
C00,Malignant neoplasm of lip,339.0,9.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C01,Malignant neoplasm of base of tongue,4018.0,386.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C02,Malignant neoplasm of other and unspecified parts of tongue,2786.0,254.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C03,Malignant neoplasm of gum,677.0,55.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C04,Malignant neoplasm of floor of mouth,927.0,90.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C05,Malignant neoplasm of palate,599.0,70.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C06,Malignant neoplasm of other and unspecified parts of mouth,1110.0,147.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C07,Malignant neoplasm of parotid gland,916.0,83.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C08,Malignant neoplasm of other and unspecified major salivary glands,262.0,14.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C09,Malignant neoplasm of tonsil,5378.0,451.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C10,Malignant neoplasm of oropharynx,1485.0,226.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C11,Malignant neoplasm of nasopharynx,1468.0,165.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C12,Malignant neoplasm of piriform sinus,681.0,96.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C13,Malignant neoplasm of hypopharynx,822.0,170.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",461.0,87.0,2020-2021,C00-C14,Malignant neoplasm of lip-oral cavity and pharynx
C15,Malignant neoplasm of oesophagus,29852.0,4236.0,2020-2021,C15-C26,Malignant neoplasm of digestive organs
C16,Malignant neoplasm of stomach,18809.0,2547.0,2020-2021,C15-C26,Malignant neoplasm of digestive organs
C17,Malignant neoplasm of small intestine,4356.0,643.0,2020-2021,C15-C26,Malignant neoplasm of digestive organs
C18,Malignant neoplasm of colon,80524.0,7611.0,2020-2021,C15-C26,Malignant neoplasm of digestive organs
C19,Malignant neoplasm of rectosigmoid junction,13006.0,1085.0,2020-2021,C15-C26,Malignant neoplasm of digestive organs
C20,Malignant neoplasm of rectum,39621.0,2209.0,2020-2021,C15-C26,Malignant neoplasm of digestive organs
C21,Malignant neoplasm of anus and anal canal,3466.0,435.0,2020-2021,C15-C26,Malignant neoplasm of digestive organs
C22,Malignant neoplasm of liver and intrahepatic bile ducts,12980.0,2894.0,2020-2021,C15-C26,Malignant neoplasm of digestive organs
C23,Malignant neoplasm of gallbladder,1534.0,383.0,2020-2021,C15-C26,Malignant neoplasm of digestive organs
C24,Malignant neoplasm of other and unspecified parts of biliary tract,3453.0,484.0,2020-2021,C15-C26,Malignant neoplasm of digestive organs
C25,Malignant neoplasm of pancreas,31397.0,5091.0,2020-2021,C15-C26,Malignant neoplasm of digestive organs
C26,Malignant neoplasm of other and ill-defined digestive organs,711.0,179.0,2020-2021,C15-C26,Malignant neoplasm of digestive organs
C30,Malignant neoplasm of nasal cavity and middle ear,594.0,53.0,2020-2021,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C31,Malignant neoplasm of accessory sinuses,789.0,112.0,2020-2021,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C32,Malignant neoplasm of larynx,3588.0,623.0,2020-2021,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C33,Malignant neoplasm of trachea,114.0,15.0,2020-2021,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C34,Malignant neoplasm of bronchus and lung,87242.0,12962.0,2020-2021,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C37,Malignant neoplasm of thymus,563.0,42.0,2020-2021,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C38,"Malignant neoplasm of heart, mediastinum and pleura",843.0,123.0,2020-2021,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,21.0,5.0,2020-2021,C30-C39,Malignant neoplasms of respiratory & intrathoracic organs
C40,Malignant neoplasm of bone and articular cartilage of limbs,3850.0,254.0,2020-2021,C40-C41,Malignant neoplasm of bone and articular cartilage
C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,3725.0,362.0,2020-2021,C40-C41,Malignant neoplasm of bone and articular cartilage
C43,Malignant melanoma of skin,20783.0,780.0,2020-2021,C43-C44,Malignant neoplasms of skin
C44,Other malignant neoplasms of skin,102217.0,607.0,2020-2021,C43-C44,Malignant neoplasms of skin
C45,Mesothelioma,7349.0,1226.0,2020-2021,C45-C49,Malignant neoplasms of mesothelial and soft tissue
C46,Kaposi sarcoma,126.0,12.0,2020-2021,C45-C49,Malignant neoplasms of mesothelial and soft tissue
C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,387.0,23.0,2020-2021,C45-C49,Malignant neoplasms of mesothelial and soft tissue
C48,Malignant neoplasm of retroperitoneum and peritoneum,4438.0,449.0,2020-2021,C45-C49,Malignant neoplasms of mesothelial and soft tissue
C49,Malignant neoplasm of other connective and soft tissue,7681.0,643.0,2020-2021,C45-C49,Malignant neoplasms of mesothelial and soft tissue
C50,Malignant neoplasm of breast,201967.0,3589.0,2020-2021,C50-C50,Malignant neoplasm of breast
C51,Malignant neoplasm of vulva,2231.0,187.0,2020-2021,,
C52,Malignant neoplasm of vagina,823.0,100.0,2020-2021,,
C53,Malignant neoplasm of cervix uteri,7701.0,757.0,2020-2021,,
‡ C54,Malignant neoplasm of corpus uteri,15308.0,987.0,2020-2021,,
‡ C55,"Malignant neoplasm of uterus, part unspecified",1493.0,172.0,2020-2021,,
‡ C56,Malignant neoplasm of ovary,30305.0,2341.0,2020-2021,,
C57,Malignant neoplasm of other and unspecified female genital organs,4524.0,252.0,2020-2021,,
C58,Malignant neoplasm of placenta,196.0,18.0,2020-2021,,
C60,Malignant neoplasm of penis,1143.0,112.0,2020-2021,,
‡ C61,Malignant neoplasm of prostate,56106.0,4245.0,2020-2021,,
C62,Malignant neoplasm of testis,4742.0,298.0,2020-2021,,
C63,Malignant neoplasm of other and unspecified male genital organs,139.0,8.0,2020-2021,,
C64,"Malignant neoplasm of kidney, except renal pelvis",18185.0,2118.0,2020-2021,C64-C68,Malignant neoplasms of urinary tract
C65,Malignant neoplasm of renal pelvis,1430.0,83.0,2020-2021,C64-C68,Malignant neoplasms of urinary tract
C66,Malignant neoplasm of ureter,1969.0,166.0,2020-2021,C64-C68,Malignant neoplasms of urinary tract
C67,Malignant neoplasm of bladder,53201.0,3089.0,2020-2021,C64-C68,Malignant neoplasms of urinary tract
C68,Malignant neoplasm of other and unspecified urinary organs,454.0,37.0,2020-2021,C64-C68,Malignant neoplasms of urinary tract
C69,Malignant neoplasm of eye and adnexa,2325.0,96.0,2020-2021,C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS"
C70,Malignant neoplasm of meninges,147.0,76.0,2020-2021,C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS"
C71,Malignant neoplasm of brain,15148.0,4093.0,2020-2021,C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS"
C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",2612.0,125.0,2020-2021,C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS"
C73,Malignant neoplasm of thyroid gland,5851.0,244.0,2020-2021,C73-C75,Malignant neoplasms of thyroid and other endocrine glands
C74,Malignant neoplasm of adrenal gland,2453.0,199.0,2020-2021,C73-C75,Malignant neoplasms of thyroid and other endocrine glands
C75,Malignant neoplasm of other endocrine glands and related structures,496.0,72.0,2020-2021,C73-C75,Malignant neoplasms of thyroid and other endocrine glands
C76,Malignant neoplasm of other and ill-defined sites,1606.0,257.0,2020-2021,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
C77,Secondary and unspecified malignant neoplasm of lymph nodes,19037.0,710.0,2020-2021,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
C78,Secondary malignant neoplasm of respiratory and digestive organs,70461.0,11868.0,2020-2021,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
C79,Secondary malignant neoplasm of other and unspecified sites,52758.0,13237.0,2020-2021,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
C80,Malignant neoplasm without specification of site,7285.0,2867.0,2020-2021,C76-C80,"Malignant neoplasms of ill-defined, secondary and unspecified sites"
C81,Hodgkin lymphoma,19252.0,675.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C82,Follicular lymphoma,16783.0,631.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C83,Non-follicular lymphoma,45993.0,3605.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C84,Mature T/NK-cell lymphomas,3863.0,385.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C85,Other and unspecified types of non-Hodgkin lymphoma,11527.0,1398.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C86,Other specified types of T/NK-cell lymphoma,1820.0,143.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C88,Malignant immunoproliferative diseases,6050.0,219.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C90,Multiple myeloma and malignant plasma cell neoplasms,107583.0,3689.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C91,Lymphoid leukaemia,51540.0,3572.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C92,Myeloid leukaemia,57665.0,3686.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C93,Monocytic leukaemia,7891.0,290.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C94,Other leukaemias of specified cell type,906.0,63.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C95,Leukaemia of unspecified cell type,861.0,227.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",1390.0,93.0,2020-2021,C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss."
C97,Malignant neoplasms of independent (primary) multiple sites,18576.0,630.0,2020-2021,C97-C97,Malignant neoplasms of independent (primary) multiple sites
D00,"Carcinoma in situ of oral cavity, oesophagus and stomach",398.0,8.0,2020-2021,D00-D09,In situ neoplasms
D01,Carcinoma in situ of other and unspecified digestive organs,773.0,19.0,2020-2021,D00-D09,In situ neoplasms
D02,Carcinoma in situ of middle ear and respiratory system,419.0,17.0,2020-2021,D00-D09,In situ neoplasms
D03,Melanoma in situ,3734.0,10.0,2020-2021,D00-D09,In situ neoplasms
D04,Carcinoma in situ of skin,5170.0,21.0,2020-2021,D00-D09,In situ neoplasms
D05,Carcinoma in situ of breast,5369.0,17.0,2020-2021,D00-D09,In situ neoplasms
D06,Carcinoma in situ of cervix uteri,2741.0,19.0,2020-2021,D00-D09,In situ neoplasms
D07,Carcinoma in situ of other and unspecified genital organs,1823.0,19.0,2020-2021,D00-D09,In situ neoplasms
D09,Carcinoma in situ of other and unspecified sites,2462.0,37.0,2020-2021,D00-D09,In situ neoplasms
D10,Benign neoplasm of mouth and pharynx,1693.0,26.0,2020-2021,D10-D36,Benign neoplasms
D11,Benign neoplasm of major salivary glands,1690.0,28.0,2020-2021,D10-D36,Benign neoplasms
D12,"Benign neoplasm of colon, rectum, anus and anal canal",105341.0,282.0,2020-2021,D10-D36,Benign neoplasms
D13,Benign neoplasm of other and ill-defined parts of digestive system,3040.0,133.0,2020-2021,D10-D36,Benign neoplasms
D14,Benign neoplasm of middle ear and respiratory system,1958.0,46.0,2020-2021,D10-D36,Benign neoplasms
D15,Benign neoplasm of other and unspecified intrathoracic organs,498.0,95.0,2020-2021,D10-D36,Benign neoplasms
D16,Benign neoplasm of bone and articular cartilage,1536.0,87.0,2020-2021,D10-D36,Benign neoplasms
D17,Benign lipomatous neoplasm,8174.0,379.0,2020-2021,D10-D36,Benign neoplasms
D18,"Haemangioma and lymphangioma, any site",5539.0,1025.0,2020-2021,D10-D36,Benign neoplasms
D19,Benign neoplasm of mesothelial tissue,45.0,8.0,2020-2021,D10-D36,Benign neoplasms
D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,34.0,1.0,2020-2021,D10-D36,Benign neoplasms
D21,Other benign neoplasms of connective and other soft tissue,1288.0,37.0,2020-2021,D10-D36,Benign neoplasms
D22,Melanocytic naevi,14397.0,201.0,2020-2021,D10-D36,Benign neoplasms
D23,Other benign neoplasms of skin,6057.0,77.0,2020-2021,D10-D36,Benign neoplasms
D24,Benign neoplasm of breast,5179.0,34.0,2020-2021,D10-D36,Benign neoplasms
‡ D25,Leiomyoma of uterus,14887.0,2568.0,2020-2021,,
‡ D26,Other benign neoplasms of uterus,554.0,31.0,2020-2021,,
‡ D27,Benign neoplasm of ovary,5821.0,1056.0,2020-2021,,
D28,Benign neoplasm of other and unspecified female genital organs,314.0,34.0,2020-2021,D10-D36,Benign neoplasms
D29,Benign neoplasm of male genital organs,350.0,10.0,2020-2021,D10-D36,Benign neoplasms
D30,Benign neoplasm of urinary organs,993.0,30.0,2020-2021,D10-D36,Benign neoplasms
D31,Benign neoplasm of eye and adnexa,334.0,7.0,2020-2021,D10-D36,Benign neoplasms
