summary_code,summary_desc,admissions,emergency_admissions,year
A00-A09,Intestinal infectious diseases,128603.0,100034.0,2021-2022
A15-A19,Tuberculosis,2124.0,1366.0,2021-2022
A20-A28,Certain zoonotic bacterial diseases,114.0,99.0,2021-2022
A30-A49,Other bacterial diseases,115254.0,110063.0,2021-2022
A50-A64,Infections with a predominantly sexual mode of transmission,2068.0,725.0,2021-2022
A65-A69,Other spirochaetal diseases,388.0,191.0,2021-2022
A70-A74,Other diseases caused by chlamydiae,47.0,42.0,2021-2022
A75-A79,Rickettsioses,8.0,7.0,2021-2022
A80-A89,Viral infections of the central nervous system,2277.0,2115.0,2021-2022
A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,71.0,60.0,2021-2022
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,12609.0,9212.0,2021-2022
B15-B19,Viral hepatitis,1834.0,1358.0,2021-2022
B20-B24,Human immunodeficiency virus [HIV] disease,1463.0,643.0,2021-2022
B25-B34,Other viral diseases,98606.0,96977.0,2021-2022
B35-B49,Mycoses,8128.0,3096.0,2021-2022
B50-B64,Protozoal diseases,1489.0,1285.0,2021-2022
B65-B83,Helminthiases,627.0,236.0,2021-2022
B85-B89,"Pediculosis, acariasis and other infestations",219.0,194.0,2021-2022
B95-B98,"Bacterial, viral and other infectious agents",5.0,2.0,2021-2022
B99-B99,Other infectious and parasitic diseases,7835.0,7477.0,2021-2022
C00-C14,Malignant neoplasm of lip-oral cavity and pharynx,25655.0,2539.0,2021-2022
C15-C26,Malignant neoplasm of digestive organs,287951.0,30000.0,2021-2022
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,107182.0,14595.0,2021-2022
C40-C41,Malignant neoplasm of bone and articular cartilage,7343.0,640.0,2021-2022
C43-C44,Malignant neoplasms of skin,147371.0,1592.0,2021-2022
C45-C49,Malignant neoplasms of mesothelial and soft tissue,23470.0,2351.0,2021-2022
C50-C50,Malignant neoplasm of breast,240790.0,4166.0,2021-2022
C51-C58,Malignant neoplasms of female genital organs,71614.0,5181.0,2021-2022
C60-C63,Malignant neoplasms of male genital organs,80443.0,5071.0,2021-2022
C64-C68,Malignant neoplasms of urinary tract,92858.0,5966.0,2021-2022
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",21758.0,4742.0,2021-2022
C73-C75,Malignant neoplasms of thyroid and other endocrine glands,10664.0,628.0,2021-2022
